Comarca,Municipi,Estacio_codi,Latitud,Longitud,Altitud,Data_alta,Data_baixa,Estat_actual
Baix Llobregat,Vallirana,Vallirana [D3],41.38197,1.93564,252,28.10.1995,,Operativa
Baix Llobregat,Viladecans,Viladecans [UG],41.29928,2.03787,3,29.04.1993,,Operativa
Baix Penedès,Cunit,Cunit [WZ],41.20187,1.63346,17,27.06.2006,,Operativa
Baix Penedès,El Montmell,el Montmell [UH],41.34171,1.48769,545,13.07.1995,,Operativa
Baix Penedès,El Vendrell,el Vendrell [D9],41.21553,1.52121,59,11.06.1999,,Operativa
Baix Penedès,La Bisbal del Penedès,la Bisbal del Penedès [WO],41.27151,1.46717,185,16.05.2002,,Operativa
Barcelonès,Badalona,Badalona - Mas Ram [DH],41.47638,2.25213,126,23.03.1998,08.09.2005,Desmantellada
Barcelonès,Badalona,Badalona - Museu [WU],41.45215,2.24757,42,21.09.2005,,Operativa
Barcelonès,Barcelona,Barcelona - Av. Lluís Companys [AN],41.39004,2.18091,8,11.05.1992,29.10.2002,Desmantellada
Barcelonès,Barcelona,Barcelona - Observatori Fabra [D5],41.41864,2.12379,411,03.11.1995,,Operativa
Barcelonès,Barcelona,Barcelona - Zoo [X2],41.38943,2.18847,7,22.09.2006,,Operativa
Barcelonès,Barcelona,Barcelona - el Raval [X4],41.3839,2.16775,33,11.10.2006,,Operativa
Barcelonès,Barcelona,Barcelona - Zona Universitària [X8],41.37919,2.1054,79,17.04.2008,,Operativa
Berguedà,Berga,Santuari de Queralt [WM],42.10736,1.8267,1167,23.01.2002,,Operativa
Berguedà,Castellar de n'Hug,Castellar de n'Hug - el Clot del Moro [MS],42.25978,1.97747,938,26.01.2010,,Operativa
Berguedà,Gisclareny,Gisclareny [UI],42.26477,1.76218,1386,12.03.1999,,Operativa
Berguedà,Guardiola de Berguedà,Guardiola de Berguedà - Escola [CN],42.22903,1.87672,720,20.02.1996,21.03.2005,Desmantellada
Berguedà,Guardiola de Berguedà,Guardiola de Berguedà [WV],42.23414,1.87485,788,28.11.2005,,Operativa
Berguedà,La Quar,la Quar [CR],42.08032,1.9624,873,13.03.1996,,Operativa
Cerdanya,Alp,la Tosa d'Alp 2500 [ZD],42.32211,1.89716,2478,04.09.2014,,Operativa
Cerdanya,Das,Das - Aeròdrom [DP],42.38605,1.8664,1097,22.05.2001,,Operativa
Cerdanya,Meranges,Malniu (2.230 m) [Z3],42.46605,1.7785,2230,03.11.1999,,Operativa
Cerdanya,Montellà i Martinet,Cadí Nord (2.143 m) - Prat d'Aguiló [Z9],42.29265,1.71498,2143,06.11.2003,,Operativa
Cerdanya,Puigcerdà,Puigcerdà [YA],42.44013,1.93482,1213,22.03.2016,,Operativa
Conca de Barberà,Blancafort,Blancafort [W8],41.44237,1.15998,438,18.01.2000,,Operativa
Conca de Barberà,L'Espluga de Francolí,l'Espluga de Francolí [CW],41.39241,1.09894,446,23.02.1996,,Operativa
Conca de Barberà,Santa Coloma de Queralt,Santa Coloma de Queralt [UJ],41.52879,1.3683,709,19.11.1996,,Operativa
Garraf,Canyelles,Canyelles [XU],41.28801,1.72195,148,16.07.2013,,Operativa
Garraf,Sant Pere de Ribes,Sant Pere de Ribes - PN del Garraf [UK],41.27861,1.80479,161,11.05.1999,,Operativa
Garrigues,Castelldans,Castelldans [UL],41.52911,0.75303,228,16.09.1997,21.02.2017,Desmantellada
Garrigues,La Granadella,la Granadella [UM],41.35991,0.66789,505,30.01.1992,,Operativa
Garrigues,Les Borges Blanques,les Borges Blanques [YD],41.51135,0.85617,283,25.01.2017,,Operativa
Garrotxa,La Vall d'en Bas,la Vall d'en Bas [W9],42.14557,2.45451,461,16.03.2000,,Operativa
Garrotxa,Olot,Olot - Pla de Baix [DC],42.19144,2.48263,422,24.04.1998,21.07.2016,Desmantellada
Garrotxa,Olot,Olot [YB],42.18813,2.47097,433,21.07.2016,,Operativa
Gironès,Cassà de la Selva,Cassà de la Selva [UN],41.87449,2.92694,171,08.03.1993,,Operativa
Gironès,Fornells de la Selva,Fornells de la Selva [UO],41.91461,2.82069,97,10.11.1998,,Operativa
Gironès,Girona,Girona - Bombers [DM],41.96012,2.80696,90,10.05.2001,15.09.2010,Desmantellada
Gironès,Girona,Girona [XJ],41.98223,2.80686,72,15.09.2010,,Operativa
Gironès,Vilablareix,Vilablareix [WF],41.95425,2.77578,108,11.04.2001,01.10.2015,Desmantellada
Maresme,Cabrils,Cabrils [UP],41.51773,2.37702,81,27.11.1995,,Operativa
Maresme,Dosrius,Dosrius - PN Montnegre Corredor [UQ],41.61991,2.44532,460,09.08.1996,,Operativa
Maresme,Malgrat de Mar,Malgrat de Mar - Cooperativa [UR],41.64908,2.75209,2,09.01.1990,04.05.2005,Desmantellada
Maresme,Malgrat de Mar,Malgrat de Mar [WT],41.64707,2.75658,2,04.05.2005,,Operativa
Maresme,Vilassar de Mar,Vilassar de Mar [DD],41.51175,2.38674,44,04.05.1998,16.01.2015,Desmantellada
Montsià,Alcanar,Alcanar [US],40.55786,0.52329,24,06.05.1991,,Operativa
Montsià,Alcanar,les Cases d'Alcanar [UT],40.55219,0.53252,3,31.08.1993,11.11.2001,Desmantellada
Montsià,Amposta,Amposta [UU],40.70776,0.6321,3,06.02.1992,,Operativa
Montsià,Mas de Barberans,Mas de Barberans [C9],40.71825,0.39988,240,11.04.1997,,Operativa
Montsià,Mas de Barberans,Mas de Barberans - Mitanplana [UV],40.71727,0.41633,205,17.11.1992,03.01.2011,Desmantellada
Montsià,Sant Carles de la Ràpita,els Alfacs [UW],40.62725,0.65922,0,06.07.1994,,Operativa
Montsià,Sant Jaume d'Enveja,Illa de Buda [DL],40.70719,0.83449,0,14.07.1999,,Operativa
Montsià,Ulldecona,Ulldecona - els Valentins [UX],40.62652,0.37112,210,15.11.1990,,Operativa
Noguera,Albesa,Albesa [WB],41.76036,0.67022,267,21.06.1999,,Operativa
Noguera,Algerri,Algerri [WG],41.80104,0.64804,301,13.12.2000,,Operativa
Noguera,Artesa de Segre,Baldomar [X6],41.92173,1.02901,366,24.10.2006,,Operativa
Noguera,Camarasa,Camarasa [WX],41.9178,0.88175,668,07.03.2006,,Operativa
Noguera,Oliola,Oliola [WA],41.87694,1.1541,443,26.03.2001,,Operativa
Noguera,Os de Balaguer,Os de Balaguer - el Monestir d'Avellanes [UY],41.87912,0.76103,576,07.07.1995,,Operativa
Noguera,Vallfogona de Balaguer,Vallfogona de Balaguer [V1],41.78487,0.82939,238,17.10.1990,,Operativa
Noguera,Vilanova de Meià,Vilanova de Meià [CQ],41.99546,1.02569,594,01.04.1996,,Operativa
Osona,Gurb,Gurb [V3],41.95224,2.23271,509,31.03.1999,,Operativa
Osona,Montesquiu,Montesquiu [V4],42.11477,2.21483,684,02.12.1998,,Operativa
Osona,Muntanyola,Muntanyola [CY],41.87813,2.17873,816,12.01.1996,,Operativa
Osona,Orís,Orís [CC],42.07398,2.20862,626,15.11.1995,,Operativa
